feature,bin,score_contribution
engagement_rate_30d,0.32484398530983616,-0.30465700655639466
engagement_rate_30d,0.33606657287685465,-0.29773573525014047
engagement_rate_30d,0.3459665522210291,-0.2912882223097352
engagement_rate_30d,0.3549507354445738,-0.28321773527532
engagement_rate_30d,0.3671236560163278,-0.2769831937151074
engagement_rate_30d,0.37697755857438764,-0.26829378093108747
engagement_rate_30d,0.38844647216027406,-0.2581377712633484
engagement_rate_30d,0.39870235410042565,-0.24704432455482908
engagement_rate_30d,0.4074747616589013,-0.23118085997715762
engagement_rate_30d,0.4148267742881005,-0.2223902461690755
engagement_rate_30d,0.42479361255303966,-0.21684837554757985
engagement_rate_30d,0.43397628391997967,-0.20820617428555588
engagement_rate_30d,0.44150027814918336,-0.18799880494583399
engagement_rate_30d,0.4491528148618459,-0.14449449194631656
engagement_rate_30d,0.4572610756757953,-0.13784218064402365
engagement_rate_30d,0.46372947665069186,0.07341975345374649
engagement_rate_30d,0.47119144213377406,0.16492087164594768
engagement_rate_30d,0.47960759008621645,0.197579341898674
engagement_rate_30d,0.4887756038002333,0.20426928174153805
engagement_rate_30d,0.499191991311588,0.24058269978184302
engagement_rate_30d,0.5100061853049007,0.2463264664686366
engagement_rate_30d,0.519332480327968,0.2523553143070273
engagement_rate_30d,0.5312795811358693,0.2580394843307786
engagement_rate_30d,0.539397686508027,0.2639693411739631
engagement_rate_30d,0.5496281978776165,0.30371611002866056
engagement_rate_30d,0.5623768496390672,0.32395254846076277
engagement_rate_30d,0.5719631058343797,0.3365492899348702
engagement_rate_30d,0.581697642924561,0.35017222001787585
engagement_rate_30d,0.5938990472857812,0.36168883017851483
engagement_rate_30d,0.6053337622608697,0.3692950207208775
engagement_rate_30d,0.6165667509637203,0.3766133872865531
engagement_rate_30d,0.6253311312078005,0.38494582197635396
engagement_rate_30d,0.6367001442950191,0.6318419820483295
engagement_rate_30d,0.6507183457804497,0.6371518260466155
engagement_rate_30d,0.662325777344842,0.6453164720233368
engagement_rate_30d,0.6744141116576192,0.6498106688204871
